id,project,path,revision,url,start,end,comment,below
18,docker-library/redis,"docker-library/redis/5.0/Dockerfile
docker-library/redis/5.0/32bit/Dockerfile
docker-library/redis/5.0/alpine/Dockerfile
docker-library/redis/6.0/Dockerfile
docker-library/redis/6.0/alpine/Dockerfile",9c9d49d25acd7428ea30669f0395506f4a7f78fc,"https://github.com/docker-library/redis/blob/9c9d49d25acd7428ea30669f0395506f4a7f78fc/5.0/Dockerfile#L66-L66
https://github.com/docker-library/redis/blob/9c9d49d25acd7428ea30669f0395506f4a7f78fc/5.0/32bit/Dockerfile#L66-L66
https://github.com/docker-library/redis/blob/9c9d49d25acd7428ea30669f0395506f4a7f78fc/5.0/alpine/Dockerfile#L47-L47
https://github.com/docker-library/redis/blob/9c9d49d25acd7428ea30669f0395506f4a7f78fc/6.0/Dockerfile#L68-L68
https://github.com/docker-library/redis/blob/9c9d49d25acd7428ea30669f0395506f4a7f78fc/6.0/alpine/Dockerfile#L48-L48","66
66
47
68
48","66
66
47
68
48","# TODO https://github.com/antirez/redis/pull/3494 (deduplicate ""redis-server"" copies)","	serverMd5=""$(md5sum /usr/local/bin/redis-server | cut -d' ' -f1)""; export serverMd5; \"
19,docker-library/ruby,"docker-library/ruby/2.5/alpine3.10/Dockerfile
docker-library/ruby/2.5/alpine3.11/Dockerfile
docker-library/ruby/2.5/buster/Dockerfile
docker-library/ruby/2.5/buster/slim/Dockerfile
docker-library/ruby/2.5/stretch/Dockerfile
docker-library/ruby/2.5/stretch/slim/Dockerfile
docker-library/ruby/2.6/alpine3.10/Dockerfile
docker-library/ruby/2.6/alpine3.11/Dockerfile
docker-library/ruby/2.6/buster/Dockerfile
docker-library/ruby/2.6/buster/slim/Dockerfile
docker-library/ruby/2.6/stretch/Dockerfile
docker-library/ruby/2.6/stretch/slim/Dockerfile
docker-library/ruby/2.7/alpine3.10/Dockerfile
docker-library/ruby/2.7/alpine3.11/Dockerfile
docker-library/ruby/2.7/buster/Dockerfile
docker-library/ruby/2.7/buster/slim/Dockerfile",a6b23d587aa4ce804f69b40d3fb48bc27c4a39db,"https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.5/alpine3.10/Dockerfile#L70-L71
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.5/alpine3.11/Dockerfile#L70-L71
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.5/buster/Dockerfile#L39-L40
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.5/buster/slim/Dockerfile#L65-L66
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.5/stretch/Dockerfile#L39-L40
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.5/stretch/slim/Dockerfile#L64-L65
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.6/alpine3.10/Dockerfile#L69-L70
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.6/alpine3.11/Dockerfile#L69-L70
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.6/buster/Dockerfile#L38-L39
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.6/buster/slim/Dockerfile#L64-L65
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.6/stretch/Dockerfile#L38-L39
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.6/stretch/slim/Dockerfile#L63-L64
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.7/alpine3.10/Dockerfile#L69-L70
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.7/alpine3.11/Dockerfile#L69-L70
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.7/buster/Dockerfile#L38-L39
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.7/buster/slim/Dockerfile#L64-L65","70
70
39
65
39
64
69
69
38
64
38
63
69
69
38
64","71
71
40
66
40
65
70
70
39
65
39
64
70
70
39
65","# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",	{ \
20,docker-library/tomcat,"docker-library/tomcat/10.0/jdk11/corretto/Dockerfile
docker-library/tomcat/10.0/jdk14/openjdk-oracle/Dockerfile
docker-library/tomcat/10.0/jdk8/corretto/Dockerfile
docker-library/tomcat/7/jdk8/corretto/Dockerfile
docker-library/tomcat/8.5/jdk11/corretto/Dockerfile
docker-library/tomcat/8.5/jdk14/openjdk-oracle/Dockerfile
docker-library/tomcat/8.5/jdk8/corretto/Dockerfile
docker-library/tomcat/9.0/jdk11/corretto/Dockerfile
docker-library/tomcat/9.0/jdk14/openjdk-oracle/Dockerfile
docker-library/tomcat/9.0/jdk8/corretto/Dockerfile",1838fdf7663a2e2d4bd426c1392e715c6b84fa5b,"https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/10.0/jdk11/corretto/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/10.0/jdk14/openjdk-oracle/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/10.0/jdk8/corretto/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/7/jdk8/corretto/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/8.5/jdk11/corretto/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/8.5/jdk14/openjdk-oracle/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/8.5/jdk8/corretto/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/9.0/jdk11/corretto/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/9.0/jdk14/openjdk-oracle/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/9.0/jdk8/corretto/Dockerfile#L28-L28","28
28
28
28
28
28
28
28
28
28","28
28
28
28
28
28
28
28
28
28","# TODO there's an odd bug on Oracle Linux where installing ""cpp"" (which gets pulled in as a dependency of ""gcc"") and then marking it as automatically-installed will result in the ""filesystem"" package being removed during ""yum autoremove"" (which then fails), so we set it as manually-installed to compensate",		yumdb set reason user filesystem; \
21,docker/compose,docker/compose/Dockerfile,d4baba057bd20962e40cdd66a075dc7d01eefc3b,https://github.com/docker/compose/blob/d4baba057bd20962e40cdd66a075dc7d01eefc3b/Dockerfile#L51-L51,51,51,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",RUN pip install virtualenv==16.2.0
22,docker/docker,docker/docker/Dockerfile,07e6b843594e061f82baa5fa23c2ff7d536c2a05,https://github.com/docker/docker/blob/07e6b843594e061f82baa5fa23c2ff7d536c2a05/Dockerfile#L70-L72,70,72,"# Install go-swagger for validating swagger.yaml
# This is https://github.com/kolyshkin/go-swagger/tree/golang-1.13-fix
# TODO: move to under moby/ or fix upstream go-swagger to work for us.",ENV GO_SWAGGER_COMMIT 5e6cb12f7c82ce78e45ba71fa6cb1928094db050
23,docker/docker,docker/docker/Dockerfile,07e6b843594e061f82baa5fa23c2ff7d536c2a05,https://github.com/docker/docker/blob/07e6b843594e061f82baa5fa23c2ff7d536c2a05/Dockerfile#L241-L241,241,241,"# TODO: Some of this is only really needed for testing, it would be nice to split this up",FROM runtime-dev AS dev-systemd-false
24,docker/docker,docker/docker/Dockerfile,07e6b843594e061f82baa5fa23c2ff7d536c2a05,https://github.com/docker/docker/blob/07e6b843594e061f82baa5fa23c2ff7d536c2a05/Dockerfile#L284-L285,284,285,"# Switch to use iptables instead of nftables (to match the CI hosts)
# TODO use some kind of runtime auto-detection instead if/when nftables is supported (https://github.com/moby/moby/issues/26824)",RUN update-alternatives --set iptables  /usr/sbin/iptables-legacy  || true \
25,docker/docker,docker/docker/Dockerfile,07e6b843594e061f82baa5fa23c2ff7d536c2a05,https://github.com/docker/docker/blob/07e6b843594e061f82baa5fa23c2ff7d536c2a05/Dockerfile#L346-L348,346,348,"# TODO: This is here because hack/make.sh binary copies these extras binaries
# from $PATH into the bundles dir.
# It would be nice to handle this in a different way.",COPY --from=tini        /build/ /usr/local/bin/
26,docker/docker-ce,docker/docker-ce/components/engine/Dockerfile,afe55f47bf11bc1500fe0845c4769ca67f0da112,https://github.com/docker/docker-ce/blob/afe55f47bf11bc1500fe0845c4769ca67f0da112/components/engine/Dockerfile#L70-L72,70,72,"# Install go-swagger for validating swagger.yaml
# This is https://github.com/kolyshkin/go-swagger/tree/golang-1.13-fix
# TODO: move to under moby/ or fix upstream go-swagger to work for us.",ENV GO_SWAGGER_COMMIT 5e6cb12f7c82ce78e45ba71fa6cb1928094db050
27,docker/docker-ce,docker/docker-ce/components/engine/Dockerfile,afe55f47bf11bc1500fe0845c4769ca67f0da112,https://github.com/docker/docker-ce/blob/afe55f47bf11bc1500fe0845c4769ca67f0da112/components/engine/Dockerfile#L241-L241,241,241,"# TODO: Some of this is only really needed for testing, it would be nice to split this up",FROM runtime-dev AS dev-systemd-false
28,docker/docker-ce,docker/docker-ce/components/engine/Dockerfile,afe55f47bf11bc1500fe0845c4769ca67f0da112,https://github.com/docker/docker-ce/blob/afe55f47bf11bc1500fe0845c4769ca67f0da112/components/engine/Dockerfile#L284-L285,284,285,"# Switch to use iptables instead of nftables (to match the CI hosts)
# TODO use some kind of runtime auto-detection instead if/when nftables is supported (https://github.com/moby/moby/issues/26824)",RUN update-alternatives --set iptables  /usr/sbin/iptables-legacy  || true \
29,docker/docker-ce,docker/docker-ce/components/engine/Dockerfile,afe55f47bf11bc1500fe0845c4769ca67f0da112,https://github.com/docker/docker-ce/blob/afe55f47bf11bc1500fe0845c4769ca67f0da112/components/engine/Dockerfile#L346-L348,346,348,"# TODO: This is here because hack/make.sh binary copies these extras binaries
# from $PATH into the bundles dir.
# It would be nice to handle this in a different way.",COPY --from=tini        /build/ /usr/local/bin/
30,hashicorp/docker-consul,hashicorp/docker-consul/0.X/Dockerfile,47c5def6b37c59a5e1ec01d3cd7d5c3ef074c52b,https://github.com/hashicorp/docker-consul/blob/47c5def6b37c59a5e1ec01d3cd7d5c3ef074c52b/0.X/Dockerfile#L77-L79,77,79,"# By default you'll get an insecure single-node development server that stores
# everything in RAM, exposes a web UI and HTTP endpoints, and bootstraps itself.
# Don't use this configuration for production.","CMD [""agent"", ""-dev"", ""-client"", ""0.0.0.0""]"
31,hashicorp/docker-vault,hashicorp/docker-vault/0.X/Dockerfile,d7ce84c6fec613d7fb11cbedd1a8d54bc5d2495e,https://github.com/hashicorp/docker-vault/blob/d7ce84c6fec613d7fb11cbedd1a8d54bc5d2495e/0.X/Dockerfile#L78-L79,78,79,"# By default you'll get a single-node development server that stores everything
# in RAM and bootstraps itself. Don't use this configuration for production.","CMD [""server"", ""-dev""]"
32,moby/moby,moby/moby/Dockerfile,89382f2f20745b9e63bed6c066f104980dff4396,https://github.com/moby/moby/blob/89382f2f20745b9e63bed6c066f104980dff4396/Dockerfile#L70-L72,70,72,"# Install go-swagger for validating swagger.yaml
# This is https://github.com/kolyshkin/go-swagger/tree/golang-1.13-fix
# TODO: move to under moby/ or fix upstream go-swagger to work for us.",ENV GO_SWAGGER_COMMIT 5e6cb12f7c82ce78e45ba71fa6cb1928094db050
33,moby/moby,moby/moby/Dockerfile,89382f2f20745b9e63bed6c066f104980dff4396,https://github.com/moby/moby/blob/89382f2f20745b9e63bed6c066f104980dff4396/Dockerfile#L241-L241,241,241,"# TODO: Some of this is only really needed for testing, it would be nice to split this up",FROM runtime-dev AS dev-systemd-false
34,moby/moby,moby/moby/Dockerfile,89382f2f20745b9e63bed6c066f104980dff4396,https://github.com/moby/moby/blob/89382f2f20745b9e63bed6c066f104980dff4396/Dockerfile#L284-L285,284,285,"# Switch to use iptables instead of nftables (to match the CI hosts)
# TODO use some kind of runtime auto-detection instead if/when nftables is supported (https://github.com/moby/moby/issues/26824)",RUN update-alternatives --set iptables  /usr/sbin/iptables-legacy  || true \
35,moby/moby,moby/moby/Dockerfile,89382f2f20745b9e63bed6c066f104980dff4396,https://github.com/moby/moby/blob/89382f2f20745b9e63bed6c066f104980dff4396/Dockerfile#L346-L348,346,348,"# TODO: This is here because hack/make.sh binary copies these extras binaries
# from $PATH into the bundles dir.
# It would be nice to handle this in a different way.",COPY --from=tini        /build/ /usr/local/bin/
36,osrf/docker_images,osrf/docker_images/ros2/nightly/nightly/Dockerfile,850fcf8f9501388ea0898b02847178ef804a9c21,https://github.com/osrf/docker_images/blob/850fcf8f9501388ea0898b02847178ef804a9c21/ros2/nightly/nightly/Dockerfile#L102-L103,102,103,"# FIXME Remove this once rosdep detects ROS 2 packages https://github.com/ros-infrastructure/rosdep/issues/660
# ignore installed rosdep keys",ENV ROS_PACKAGE_PATH /opt/ros/$ROS_DISTRO/share
37,osrf/docker_images,osrf/docker_images/ros2/nightly/nightly/Dockerfile,850fcf8f9501388ea0898b02847178ef804a9c21,https://github.com/osrf/docker_images/blob/850fcf8f9501388ea0898b02847178ef804a9c21/ros2/nightly/nightly/Dockerfile#L106-L107,106,107,"# FIXME Remove this once ament_export_interfaces respects COLCON_CURRENT_PREFIX https://github.com/ament/ament_cmake/issues/173
#Workaround hard coded paths in nightly tarball setup scripts",ARG UPSTREAM_CI_WS=/home/jenkins-agent/workspace/packaging_linux/ws
38,osrf/docker_images,osrf/docker_images/sros/kinetic/Dockerfile,850fcf8f9501388ea0898b02847178ef804a9c21,https://github.com/osrf/docker_images/blob/850fcf8f9501388ea0898b02847178ef804a9c21/sros/kinetic/Dockerfile#L56-L58,56,58,"# FIXME renaming manifest.xml is a workaround for rosdep misbehaving when both
# manifest.xml and package.xml are present
# install dependencies",RUN mv roslisp/manifest.xml roslisp/oldmanifest.xml && \
39,therealprologic/docker-crux,therealprologic/docker-crux/build/aarch64/Dockerfile,78132f1f828e871dab1a541f78b7631ad5d12c11,https://github.com/therealprologic/docker-crux/blob/78132f1f828e871dab1a541f78b7631ad5d12c11/build/aarch64/Dockerfile#L3-L3,3,3,"# TODO: Once bootstrapped, use 'crux:latest'",FROM alpine:3.8
40,tianon/dockerfiles,tianon/dockerfiles/containerd/Dockerfile,44e5012b3b8c47340ad24da5467c7bc3175173f5,https://github.com/tianon/dockerfiles/blob/44e5012b3b8c47340ad24da5467c7bc3175173f5/containerd/Dockerfile#L17-L17,17,17,# TODO .asc / .sha256sum,	chmod +x /usr/local/bin/runc; \
41,tianon/dockerfiles,tianon/dockerfiles/docker-master/Dockerfile,44e5012b3b8c47340ad24da5467c7bc3175173f5,https://github.com/tianon/dockerfiles/blob/44e5012b3b8c47340ad24da5467c7bc3175173f5/docker-master/Dockerfile#L6-L9,6,9,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",RUN [ ! -e /etc/nsswitch.conf ] && echo 'hosts: files dns' > /etc/nsswitch.conf
42,tianon/dockerfiles,tianon/dockerfiles/docker-master/dind/Dockerfile,44e5012b3b8c47340ad24da5467c7bc3175173f5,https://github.com/tianon/dockerfiles/blob/44e5012b3b8c47340ad24da5467c7bc3175173f5/docker-master/dind/Dockerfile#L24-L24,24,24,# TODO aufs-tools,
43,tianon/dockerfiles,tianon/dockerfiles/docker-master/dind/Dockerfile,44e5012b3b8c47340ad24da5467c7bc3175173f5,https://github.com/tianon/dockerfiles/blob/44e5012b3b8c47340ad24da5467c7bc3175173f5/docker-master/dind/Dockerfile#L33-L33,33,33,# https://github.com/docker/docker/tree/master/hack/dind,ENV DIND_COMMIT 37498f009d8bf25fbb6199e8ccd34bed84f2874b
44,tianon/dockerfiles,tianon/dockerfiles/docker-tianon/Dockerfile,44e5012b3b8c47340ad24da5467c7bc3175173f5,https://github.com/tianon/dockerfiles/blob/44e5012b3b8c47340ad24da5467c7bc3175173f5/docker-tianon/Dockerfile#L63-L64,63,64,"# https://github.com/docker/docker/tree/master/hack/dind
#ENV DIND_COMMIT 130b0bc6032cc675d064e1cc62626cacc9c07a57",
45,tianon/dockerfiles,tianon/dockerfiles/docker-tianon/Dockerfile,44e5012b3b8c47340ad24da5467c7bc3175173f5,https://github.com/tianon/dockerfiles/blob/44e5012b3b8c47340ad24da5467c7bc3175173f5/docker-tianon/Dockerfile#L66-L68,66,68,"#RUN set -eux; \
#	wget -O /usr/local/bin/dind ""https://raw.githubusercontent.com/docker/docker/${DIND_COMMIT}/hack/dind""; \
#	chmod +x /usr/local/bin/dind",
46,tianon/dockerfiles,tianon/dockerfiles/grafana/Dockerfile,44e5012b3b8c47340ad24da5467c7bc3175173f5,https://github.com/tianon/dockerfiles/blob/44e5012b3b8c47340ad24da5467c7bc3175173f5/grafana/Dockerfile#L34-L34,34,34,"# TODO verify sha256 values! (add "".sha256"" to the end of this URL)","	wget -O grafana.tgz --progress=dot:giga ""https://dl.grafana.com/oss/release/grafana-${GRAFANA_VERSION}.linux-${arch}.tar.gz""; \"
47,tianon/dockerfiles,tianon/dockerfiles/mojo/Dockerfile,44e5012b3b8c47340ad24da5467c7bc3175173f5,https://github.com/tianon/dockerfiles/blob/44e5012b3b8c47340ad24da5467c7bc3175173f5/mojo/Dockerfile#L3-L3,3,3,# TODO pin a version,RUN cpanm Mojolicious && rm -rf ~/.cpanm
48,tianon/dockerfiles,tianon/dockerfiles/mojo/Dockerfile,44e5012b3b8c47340ad24da5467c7bc3175173f5,https://github.com/tianon/dockerfiles/blob/44e5012b3b8c47340ad24da5467c7bc3175173f5/mojo/Dockerfile#L6-L6,6,6,# TODO pin versions,RUN cpanm EV && rm -rf ~/.cpanm
49,tianon/dockerfiles,tianon/dockerfiles/network-toolbox/alpine/Dockerfile,44e5012b3b8c47340ad24da5467c7bc3175173f5,https://github.com/tianon/dockerfiles/blob/44e5012b3b8c47340ad24da5467c7bc3175173f5/network-toolbox/alpine/Dockerfile#L26-L27,26,27,"# TODO add ""nbtscan"" when we get to Alpine 3.12 (if it makes it out of edge)
# https://pkgs.alpinelinux.org/packages?name=nbtscan&branch=edge&arch=x86_64",
50,tianon/dockerfiles,tianon/dockerfiles/speedtest/Dockerfile,44e5012b3b8c47340ad24da5467c7bc3175173f5,https://github.com/tianon/dockerfiles/blob/44e5012b3b8c47340ad24da5467c7bc3175173f5/speedtest/Dockerfile#L10-L10,10,10,"# TODO verify that ookla's ""armhf"" really is armv6",		armv7) ooklaArch='armhf' ;; \
51,tianon/dockerfiles,tianon/dockerfiles/speedtest/Dockerfile,44e5012b3b8c47340ad24da5467c7bc3175173f5,https://github.com/tianon/dockerfiles/blob/44e5012b3b8c47340ad24da5467c7bc3175173f5/speedtest/Dockerfile#L13-L13,13,13,"# TODO figure out what ookla means by their bare ""arm"" arch","		*) echo >&2 ""error: unknown/unsupported architecture: $apkArch (see https://www.speedtest.net/apps/cli#download)""; exit 1 ;; \"
52,wikimedia/mediawiki-docker,wikimedia/mediawiki-docker/dev/Dockerfile,672a803dfb39e86b8dc1f4b57fde4c6df6304050,https://github.com/wikimedia/mediawiki-docker/blob/672a803dfb39e86b8dc1f4b57fde4c6df6304050/dev/Dockerfile#L44-L45,44,45,"# Extensions
	# TODO: make submodules shallow clones?",	git submodule update --init --recursive VisualEditor; \